"symbol","name","industry","subsector","group","latest","start","latestDate","startDate","diffToMin","diffToMax","diff","min","minDate","median","average","max","maxDate","low","numberOfDates"
"VIG","Công ty Cổ phần Chứng khoán Thương mại và Công nghiệp Việt Nam","Tài chính","Môi giới chứng khoán","HNX",4.2,4.5,"2021-02-25","2021-01-27",0.6,0.3,0.9,3.6,"2021-02-08",4.1,4.01,4.5,"2021-01-27",false,19
"VIP","Công ty Cổ phần Vận tải Xăng dầu VIPCO","Công nghiệp","Vận tải Thủy","HOSE",9.21,9.91,"2021-02-25","2021-01-27",9.21,0.7,9.91,0,"2021-02-15",8.97,8.01,9.91,"2021-01-27",false,19
"VIS","Công ty Cổ phần Thép Việt Ý","Nguyên vật liệu","Thép và sản phẩm thép","HOSE",16.6,16.8,"2021-02-25","2021-01-27",0.95,0.8,1.75,15.65,"2021-01-28",16.95,16.88,17.4,"2021-02-01",true,16
"VIT","Công ty Cổ phần Viglacera Tiên Sơn","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",17.4,16.6,"2021-02-25","2021-01-27",2.2,0,2.2,15.2,"2021-01-28",16.8,16.69,17.4,"2021-02-25",false,19
"VIX","Công ty Cổ phần Chứng khoán VIX","Tài chính","Môi giới chứng khoán","HOSE",32.4,23.05,"2021-02-25","2021-01-27",32.4,0,32.4,0,"2021-02-15",26,23.64,32.4,"2021-02-25",false,19
"VJC","Công ty Cổ phần Hàng không Vietjet","Dịch vụ Tiêu dùng","Hàng không","VN30",135,130.8,"2021-02-25","2021-01-27",135,0,135,0,"2021-02-15",130.8,116.15,135,"2021-02-25",false,19
"VKC","Công ty Cổ phần Cáp nhựa Vĩnh Khánh","Hàng Tiêu dùng","Lốp xe","HNX",6.4,5.5,"2021-02-25","2021-01-27",1.4,0,1.4,5,"2021-01-28",5.7,5.6,6.4,"2021-02-25",false,19
"VLA","Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang","Công nghệ Thông tin","Phần mềm","HNX",13.5,15,"2021-02-25","2021-02-04",0,1.5,1.5,13.5,"2021-02-25",14.25,14.25,15,"2021-02-04",true,2
"VMC","Công ty Cổ phần VIMECO","Công nghiệp","Xây dựng","HNX30",11,10.9,"2021-02-25","2021-01-27",1.1,0,1.1,9.9,"2021-01-28",10.8,10.64,11,"2021-02-03",false,19
"VMD","Công ty Cổ phần Y Dược phẩm Vimedimex","Dược phẩm và Y tế","Dược phẩm","HOSE",22.3,21,"2021-02-25","2021-01-27",22.3,0,22.3,0,"2021-02-15",21.8,19.02,22.3,"2021-02-25",false,17
"VMS","Công ty Cổ phần Phát triển Hàng Hải","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",8.1,7.5,"2021-02-25","2021-01-28",0.6,0.1,0.7,7.5,"2021-01-28",8,7.96,8.2,"2021-02-02",false,5
"VNC","Công ty Cổ phần Tập đoàn Vinacontrol","Công nghiệp","Tư vấn & Hỗ trợ KD","HNX",35,34,"2021-02-22","2021-01-28",2.5,0,2.5,32.5,"2021-02-17",34.35,34.13,35,"2021-02-18",false,6
"VND","Công ty Cổ phần Chứng khoán VNDIRECT","Tài chính","Môi giới chứng khoán","HOSE",27.85,24.3,"2021-02-25","2021-01-27",27.85,0.15,28,0,"2021-02-15",26,23.08,28,"2021-02-17",false,19
"VNE","Tổng Công ty Cổ phần Xây dựng điện Việt Nam","Công nghiệp","Xây dựng","HOSE",6.4,5.89,"2021-02-25","2021-01-27",6.4,0.05,6.45,0,"2021-02-15",5.78,5.24,6.45,"2021-02-23",false,19
"VNF","Công ty Cổ phần Vinafreight","Công nghiệp","Dịch vụ vận tải","HNX",16,16.5,"2021-02-25","2021-01-27",1.1,1.4,2.5,14.9,"2021-01-28",16,16.08,17.4,"2021-02-01",true,13
"VNG","Công ty Cổ phần Du Lịch Thành Thành Công","Dịch vụ Tiêu dùng","Khách sạn","HOSE",12.95,13.65,"2021-02-25","2021-01-27",12.95,0.7,13.65,0,"2021-02-15",12.85,11.56,13.65,"2021-01-27",false,19
"VNL","Công ty Cổ phần Logistics Vinalink","Công nghiệp","Dịch vụ vận tải","HOSE",18.5,18.15,"2021-02-24","2021-01-27",18.5,0,18.5,0,"2021-02-15",18.15,15.97,18.5,"2021-02-09",false,17
"VNM","Công ty Cổ phần Sữa Việt Nam","Hàng Tiêu dùng","Thực phẩm","VN30",104.6,103.3,"2021-02-25","2021-01-27",104.6,5.1,109.7,0,"2021-02-15",107,94.91,109.7,"2021-02-03",false,19
"VNR","Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam","Tài chính","Tái bảo hiểm","HNX",21.5,22.1,"2021-02-25","2021-01-27",1.6,1.1,2.7,19.9,"2021-01-28",20.6,20.96,22.6,"2021-02-23",false,19
"VNS","Công ty Cổ phần Ánh Dương Việt Nam","Dịch vụ Tiêu dùng","Vận tải hành khách & Du lịch","HOSE",10.2,9.96,"2021-02-25","2021-01-28",10.2,0.3,10.5,0,"2021-02-15",10.25,8.71,10.5,"2021-02-03",false,15
"VNT","Công ty Cổ phần Giao nhận Vận tải Ngoại Thương","Công nghiệp","Dịch vụ vận tải","HNX",78.1,76.4,"2021-02-23","2021-01-27",12.3,1.9,14.2,65.8,"2021-02-17",73.1,74.08,80,"2021-02-22",false,17
"VOS","Công ty Cổ phần Vận tải Biển Việt Nam","Công nghiệp","Vận tải Thủy","HOSE",3.47,4.38,"2021-02-25","2021-01-27",3.47,0.91,4.38,0,"2021-02-15",3.41,3.13,4.38,"2021-01-27",false,19
"VPB","Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng","Ngân hàng","Ngân hàng","VN30",39.6,31.85,"2021-02-25","2021-01-27",39.6,1.7,41.3,0,"2021-02-15",36.6,32.79,41.3,"2021-02-18",false,19
"VPD","Công ty Cổ phần Phát triển Điện lực Việt Nam","Công nghiệp","Xây dựng","HOSE",14.75,14.5,"2021-02-25","2021-01-27",14.75,0,14.75,0,"2021-02-15",14.5,12.96,14.75,"2021-02-25",false,19
"VPG","Công ty Cổ phần Đầu tư Thương mại Xuất nhập khẩu Việt Phát","Dịch vụ Tiêu dùng","Phân phối hàng chuyên dụng","HOSE",21.1,19.5,"2021-02-25","2021-01-27",21.1,1.35,22.45,0,"2021-02-15",20.35,18.46,22.45,"2021-02-17",false,19
"VPH","Công ty Cổ phần Vạn Phát Hưng","Tài chính","Bất động sản","HOSE",5.16,5.02,"2021-02-25","2021-01-27",5.16,0.39,5.55,0,"2021-02-15",5.15,4.54,5.55,"2021-02-17",false,19
"VPI","Công ty Cổ phần Đầu tư Văn Phú - Invest","Tài chính","Bất động sản","HOSE",34.3,35.95,"2021-02-25","2021-01-27",34.3,1.65,35.95,0,"2021-02-15",34.5,31.04,35.95,"2021-01-27",false,19
"VPS","Công ty Cổ phần Thuốc sát trùng Việt Nam","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HOSE",14,12.45,"2021-02-25","2021-01-27",14,3.3,17.3,0,"2021-02-15",14.8,13.39,17.3,"2021-02-03",false,19
"VRC","Công ty Cổ phần Bất động sản và Đầu tư VRC","Tài chính","Bất động sản","HOSE",9.06,10.65,"2021-02-25","2021-01-27",9.06,1.59,10.65,0,"2021-02-15",8.9,8.5,10.65,"2021-01-27",false,19
"VRE","Công ty Cổ phần Vincom Retail","Tài chính","Bất động sản","VN30",33.75,34.45,"2021-02-25","2021-01-27",33.75,1.1,34.85,0,"2021-02-15",32.7,29.5,34.85,"2021-02-18",false,19
"VSA","Công ty Cổ phần Đại lý Hàng hải Việt Nam","Công nghiệp","Dịch vụ vận tải","HNX",18.5,18.8,"2021-02-25","2021-01-27",0.5,1,1.5,18,"2021-02-02",18.5,18.54,19.5,"2021-02-22",true,7
"VSC","Công ty Cổ phần Container Việt Nam","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HOSE",60.3,57.3,"2021-02-25","2021-01-27",60.3,1.7,62,0,"2021-02-15",60,53.49,62,"2021-02-17",false,19
"VSH","Công ty Cổ phần Thủy điện Vĩnh Sơn - Sông Hinh","Tiện ích Cộng đồng","Sản xuất & Phân phối Điện","HOSE",17.8,18.1,"2021-02-25","2021-01-27",17.8,0.3,18.1,0,"2021-02-15",17.9,15.94,18.1,"2021-01-27",false,19
"VSI","Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước","Công nghiệp","Xây dựng","HOSE",18.1,17.1,"2021-02-25","2021-01-27",18.1,1.35,19.45,0,"2021-02-15",17.75,15.81,19.45,"2021-02-24",false,17
"VSM","Công ty Cổ phần Container Miền Trung","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",19,16,"2021-02-22","2021-01-28",3,0,3,16,"2021-01-28",17.4,17.46,19,"2021-02-22",false,5
"VTB","Công ty Cổ phần Viettronics Tân Bình","Công nghiệp","Hàng điện & điện tử","HOSE",12,13.5,"2021-02-25","2021-01-27",12,1.5,13.5,0,"2021-02-15",12.1,10.95,13.5,"2021-01-27",false,19
"VTC","Công ty Cổ phần Viễn Thông VTC","Công nghệ Thông tin","Thiết bị viễn thông","HNX",11,10.8,"2021-02-25","2021-01-27",1,1.6,2.6,10,"2021-02-02",11,11.12,12.6,"2021-02-18",true,17
"VTJ","Công ty Cổ phần Thương mại và Đầu tư VI NA TA BA","Hàng Tiêu dùng","Thuốc lá","HNX",4.2,4.5,"2021-02-25","2021-01-27",0.7,0.3,1,3.5,"2021-02-02",4,3.99,4.5,"2021-01-27",false,15
"VTL","Công ty Cổ phần Vang Thăng Long","Hàng Tiêu dùng","Vang & Rượu mạnh","HNX",17,17,"2021-01-29","2021-01-29",0,0,0,17,"2021-01-29",17,17,17,"2021-01-29",false,1
"VTO","Công ty Cổ phần Vận tải Xăng dầu VITACO","Công nghiệp","Vận tải Thủy","HOSE",8.8,9.15,"2021-02-25","2021-01-27",8.8,0.35,9.15,0,"2021-02-15",8.6,7.8,9.15,"2021-01-27",false,19
"VTV","Công ty Cổ phần Năng lượng và Môi trường VICEM","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",5.5,5.9,"2021-02-25","2021-01-27",0.2,0.4,0.6,5.3,"2021-02-05",5.5,5.55,5.9,"2021-01-27",true,19
"VXB","Công ty Cổ phần Vật liệu xây dựng Bến Tre","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",6.9,7.8,"2021-02-25","2021-01-27",0,1.8,1.8,6.9,"2021-02-25",7.7,7.78,8.7,"2021-02-08",true,8
"WCS","Công ty Cổ phần Bến xe Miền Tây","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",218,215.5,"2021-02-25","2021-01-27",13.8,3.4,17.2,204.2,"2021-01-28",220,217.41,221.4,"2021-02-17",false,18
"WSS","Công ty Cổ phần Chứng khoán Phố Wall","Tài chính","Môi giới chứng khoán","HNX",4.8,5.4,"2021-02-25","2021-01-27",0.7,0.6,1.3,4.1,"2021-02-01",4.8,4.69,5.4,"2021-01-27",false,19
"X20","Công ty Cổ phần X20","Hàng Tiêu dùng","Hàng May mặc","HNX",8.5,9.9,"2021-02-25","2021-02-04",1.2,1.4,2.6,7.3,"2021-02-22",8.3,8.43,9.9,"2021-02-04",false,7
"YBM","Công ty Cổ phần Khoáng sản Công nghiệp Yên Bái","Nguyên vật liệu","Khai khoáng ","HOSE",6.19,6.81,"2021-02-25","2021-01-27",6.19,0.62,6.81,0,"2021-02-15",6.1,5.5,6.81,"2021-01-27",false,19
"YEG","Công ty Cổ phần Tập đoàn Yeah1","Dịch vụ Tiêu dùng","Giải trí & Truyền thông","HOSE",40,43.5,"2021-02-25","2021-01-27",40,3.5,43.5,0,"2021-02-15",40.1,36.09,43.5,"2021-01-27",false,19
