"symbol","name","industry","subsector","group","latest","start","latestDate","startDate","diffToMin","diffToMax","diff","min","minDate","median","average","max","maxDate","low","numberOfDates"
"DDG","Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương","Tiện ích Cộng đồng","Phân phối xăng dầu & khí đốt","HNX30",31.3,30.1,"2021-02-25","2021-01-27",1.4,0.8,2.2,29.9,"2021-01-28",31.4,31.35,32.1,"2021-02-17",true,19
"DGC","Công ty Cổ phần Tập đoàn Hóa chất Đức Giang","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HOSE",65.5,52.3,"2021-02-25","2021-01-27",65.5,0,65.5,0,"2021-02-15",54.1,49.37,65.5,"2021-02-25",false,19
"DGW","Công ty Cổ phần Thế Giới Số","Dịch vụ Tiêu dùng","Phân phối hàng chuyên dụng","HOSE",94.4,70,"2021-02-25","2021-01-27",94.4,0.6,95,0,"2021-02-15",79.4,73.67,95,"2021-02-23",false,19
"DHA","Công ty Cổ phần Hóa An","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",50.2,46.7,"2021-02-25","2021-01-27",50.2,0,50.2,0,"2021-02-15",47.8,42.92,50.2,"2021-02-23",false,19
"DHC","Công ty Cổ phần Đông Hải Bến Tre","Nguyên vật liệu","Sản xuất giấy","HOSE",76.2,61.5,"2021-02-25","2021-01-27",76.2,0,76.2,0,"2021-02-15",66.5,60.62,76.2,"2021-02-25",false,19
"DHG","Công ty Cổ phần Dược Hậu Giang","Dược phẩm và Y tế","Dược phẩm","HOSE",101,101,"2021-02-25","2021-01-27",101,0.9,101.9,0,"2021-02-15",101,89.66,101.9,"2021-02-23",false,19
"DHM","Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu","Nguyên vật liệu","Khai khoáng ","HOSE",9.98,9.53,"2021-02-25","2021-01-27",9.98,0.02,10,0,"2021-02-15",9.81,8.83,10,"2021-02-05",false,19
"DHP","Công ty Cổ phần Điện cơ Hải Phòng","Công nghiệp","Thiết bị điện","HNX",10,9.2,"2021-02-25","2021-01-28",0.8,0,0.8,9.2,"2021-01-28",9.65,9.66,10,"2021-02-25",false,10
"DHT","Công ty Cổ phần Dược phẩm Hà Tây","Dược phẩm và Y tế","Dược phẩm","HNX30",53.5,53.8,"2021-02-25","2021-01-27",1.5,0.3,1.8,52,"2021-01-28",53.3,53.24,53.8,"2021-01-27",false,19
"DIG","Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng","Tài chính","Bất động sản","HOSE",31.25,28.85,"2021-02-25","2021-01-27",31.25,0.2,31.45,0,"2021-02-15",29,26.26,31.45,"2021-02-19",false,19
"DIH","Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An","Công nghiệp","Xây dựng","HNX",13,13.6,"2021-02-24","2021-01-28",0,2.9,2.9,13,"2021-02-23",14.45,14.53,15.9,"2021-02-09",true,10
"DL1","Công ty Cổ phần Tập đoàn Năng lượng Tái tạo Việt Nam","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",18,22.5,"2021-02-23","2021-02-08",1,4.5,5.5,17,"2021-02-22",18.3,19.22,22.5,"2021-02-08",true,5
"DLG","Công ty Cổ phần Tập đoàn Đức Long Gia Lai","Nguyên vật liệu","Lâm sản và Chế biến gỗ","HOSE",1.8,1.81,"2021-02-25","2021-01-27",1.8,0.03,1.83,0,"2021-02-15",1.64,1.51,1.83,"2021-02-22",false,19
"DMC","Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO","Dược phẩm và Y tế","Dược phẩm","HOSE",55.4,56.9,"2021-02-25","2021-01-27",55.4,1.5,56.9,0,"2021-02-15",54.8,49.23,56.9,"2021-01-27",false,19
"DNC","Công ty Cổ phần Điện nước Lắp máy Hải Phòng","Tiện ích Cộng đồng","Sản xuất & Phân phối Điện","HNX",50,46,"2021-02-24","2021-02-01",4,0,4,46,"2021-02-01",48.1,48.05,50,"2021-02-04",false,4
"DNM","Tổng Công ty Cổ phần Y tế Danameco","Dược phẩm và Y tế","Dụng cụ y tế","HNX",39.4,36.9,"2021-02-25","2021-01-27",2.5,11.6,14.1,36.9,"2021-01-27",41.5,42.71,51,"2021-02-02",true,19
"DNP","Công ty Cổ phần Nhựa Đồng Nai","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",21.6,18.3,"2021-02-25","2021-01-27",3.6,0,3.6,18,"2021-02-05",18.4,18.85,21.6,"2021-02-25",false,16
"DP3","Công ty Cổ Phần Dược Phẩm Trung Ương 3","Dược phẩm và Y tế","Dược phẩm","HNX30",110,98.9,"2021-02-25","2021-01-27",16,0,16,94,"2021-01-28",98.9,100.99,110,"2021-02-25",false,19
"DPC","Công ty Cổ phần Nhựa Đà Nẵng","Công nghiệp","Containers & Đóng gói","HNX",18,15,"2021-02-23","2021-01-27",3,0,3,15,"2021-01-27",15.75,16.13,18,"2021-02-23",false,4
"DPG","Công ty Cổ phần Đạt Phương","Công nghiệp","Xây dựng","HOSE",29.1,26.25,"2021-02-25","2021-01-27",29.1,0.2,29.3,0,"2021-02-15",26.25,23.9,29.3,"2021-02-23",false,19
"DPM","Tổng Công ty Cổ phần Phân bón và Hóa chất Dầu khí","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HOSE",16.9,16.6,"2021-02-25","2021-01-27",16.9,0.55,17.45,0,"2021-02-15",15.95,14.63,17.45,"2021-02-19",false,19
"DPR","Công ty Cổ phần Cao su Đồng Phú","Nguyên vật liệu","Nhựa, cao su & sợi","HOSE",48.5,49.95,"2021-02-25","2021-01-27",48.5,1.45,49.95,0,"2021-02-15",47.5,42.58,49.95,"2021-01-27",false,19
"DQC","Công ty Cổ phần Bóng đèn Điện Quang","Hàng Tiêu dùng","Thiết bị gia dụng","HOSE",18.3,18,"2021-02-25","2021-01-27",18.3,0.3,18.6,0,"2021-02-15",17.8,15.97,18.6,"2021-02-22",false,19
"DRC","Công ty Cổ phần Cao su Đà Nẵng","Hàng Tiêu dùng","Lốp xe","HOSE",27.9,27.6,"2021-02-25","2021-01-27",27.9,0.75,28.65,0,"2021-02-15",27,24.22,28.65,"2021-02-18",false,19
"DRH","Công ty Cổ phần DRH Holdings","Tài chính","Bất động sản","HOSE",10.45,9.99,"2021-02-25","2021-01-27",10.45,0.5,10.95,0,"2021-02-15",8.38,8.71,10.95,"2021-02-23",false,19
"DRL","Công ty Cổ phần Thủy điện - Điện lực 3","Tiện ích Cộng đồng","Sản xuất & Phân phối Điện","HOSE",56.4,53.9,"2021-02-25","2021-01-27",56.4,0.6,57,0,"2021-02-15",54.65,48.81,57,"2021-02-19",false,18
"DS3","Công ty Cổ phần Quản lý Đường sông số 3","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",5.6,5,"2021-02-25","2021-01-27",1.1,0,1.1,4.5,"2021-01-28",4.9,4.94,5.6,"2021-02-25",false,19
"DSN","Công ty Cổ phần Công viên nước Đầm Sen","Dịch vụ Tiêu dùng","Dịch vụ giải trí","HOSE",50.6,48,"2021-02-25","2021-01-27",50.6,0,50.6,0,"2021-02-15",47.4,42.92,50.6,"2021-02-25",false,19
"DST","Công ty Cổ phần Đầu tư Sao Thăng Long","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",3.4,3.3,"2021-02-25","2021-01-27",0.7,0,0.7,2.7,"2021-02-02",3,3,3.4,"2021-02-24",false,19
"DTA","Công ty Cổ phần Đệ Tam","Tài chính","Bất động sản","HOSE",6.8,6.98,"2021-02-25","2021-01-27",6.8,0.18,6.98,0,"2021-02-15",6.25,5.69,6.98,"2021-01-27",false,19
"DTD","Công ty Cổ phần Đầu tư Phát triển Thành Đạt","Công nghiệp","Xây dựng","HNX30",28.3,27.8,"2021-02-25","2021-01-27",4,1.2,5.2,24.3,"2021-02-01",26.8,26.86,29.5,"2021-02-19",false,19
"DTK","Tổng Công ty Điện lực TKV - Công ty Cổ phần","Công nghiệp","Xây dựng","HNX",11.8,12.3,"2021-02-25","2021-01-27",0.7,0.7,1.4,11.1,"2021-01-28",12.2,11.99,12.5,"2021-02-18",true,17
"DTT","Công ty Cổ phần Kỹ nghệ Đô Thành","Nguyên vật liệu","Nhựa, cao su & sợi","HOSE",12.5,12.5,"2021-02-25","2021-02-25",0,0,0,12.5,"2021-02-25",12.5,12.5,12.5,"2021-02-25",false,1
"DVG","Công ty Cổ phần Tập đoàn Sơn Đại Việt","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",14.8,15.8,"2021-02-25","2021-01-27",1.3,1,2.3,13.5,"2021-02-24",15,15.08,15.8,"2021-01-27",true,19
"DVP","Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HOSE",46,44.9,"2021-02-25","2021-01-27",46,0,46,0,"2021-02-15",43.8,39.59,46,"2021-02-25",false,19
"DXG","Công ty Cổ phần Tập đoàn Đất Xanh","Tài chính","Bất động sản","HOSE",23,21,"2021-02-25","2021-01-27",23,1.9,24.9,0,"2021-02-15",21.45,19.81,24.9,"2021-02-22",false,19
"DXP","Công ty Cổ phần Cảng Đoạn Xá","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",16.5,15,"2021-02-25","2021-01-27",3,0.1,3.1,13.5,"2021-01-28",15,15.12,16.6,"2021-02-23",false,19
"DXV","Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",4.3,4.21,"2021-02-25","2021-01-27",4.3,0.2,4.5,0,"2021-02-15",4.12,3.72,4.5,"2021-02-23",false,19
"DZM","Công ty Cổ phần Cơ điện Dzĩ An","Công nghiệp","Máy công nghiệp","HNX",4.7,4.4,"2021-02-25","2021-01-27",0.3,0.2,0.5,4.4,"2021-01-27",4.6,4.65,4.9,"2021-01-29",false,19
"EBA","Công ty Cổ phần Điện Bắc Nà","Tiện ích Cộng đồng","Sản xuất & Phân phối Điện","HNX",9.6,9.5,"2021-02-19","2021-02-04",0.1,0,0.1,9.5,"2021-02-04",9.55,9.55,9.6,"2021-02-19",false,2
"EBS","Công ty Cổ phần Sách Giáo dục tại Thành phố Hà Nội","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",9.7,9.4,"2021-02-25","2021-01-27",0.3,0.4,0.7,9.4,"2021-01-27",9.65,9.64,10.1,"2021-02-05",false,18
"ECI","Công ty Cổ phần Bản đồ và Tranh ảnh Giáo dục","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",14.5,14.5,"2021-01-28","2021-01-28",0,0,0,14.5,"2021-01-28",14.5,14.5,14.5,"2021-01-28",false,1
"EIB","Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam","Ngân hàng","Ngân hàng","VN30",18.1,17.7,"2021-02-25","2021-01-27",18.1,0.4,18.5,0,"2021-02-15",17.9,16.04,18.5,"2021-02-18",false,19
"EID","Công ty Cổ phần Đầu tư và Phát triển Giáo dục Hà Nội","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",17.2,16.5,"2021-02-25","2021-01-27",1.8,0,1.8,15.4,"2021-01-28",16.7,16.56,17.2,"2021-02-25",false,19
"ELC","Công ty Cổ phần Đầu tư Phát triển Công nghệ điện tử - Viễn thông","Công nghệ Thông tin","Thiết bị viễn thông","HOSE",11,10.65,"2021-02-25","2021-01-27",11,0.3,11.3,0,"2021-02-15",11.3,9.24,11.3,"2021-02-18",false,19
"EMC","Công ty Cổ phần Cơ điện Thủ Đức","Công nghiệp","Thiết bị điện","HOSE",15.05,15.05,"2021-02-25","2021-02-25",0,0,0,15.05,"2021-02-25",15.05,15.05,15.05,"2021-02-25",false,1
"EVE","Công ty Cổ phần Everpia","Hàng Tiêu dùng","Hàng May mặc","HOSE",13.5,13.2,"2021-02-25","2021-01-27",13.5,0.1,13.6,0,"2021-02-15",13.05,11.77,13.6,"2021-02-23",false,19
"EVG","Công ty Cổ phần Tập đoàn Everland","Công nghiệp","Xây dựng","HOSE",9,9.26,"2021-02-25","2021-01-27",9,1.05,10.05,0,"2021-02-15",9,8.05,10.05,"2021-02-17",false,19
"EVS","Công ty Cổ phần Chứng khoán Everest","Tài chính","Môi giới chứng khoán","HNX",11.4,9,"2021-02-25","2021-01-27",3,0,3,8.4,"2021-01-28",9.3,9.43,11.4,"2021-02-25",false,19
"FCM","Công ty Cổ phần Khoáng sản FECON","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",6.84,6.6,"2021-02-25","2021-01-27",6.84,0,6.84,0,"2021-02-15",6.34,5.73,6.84,"2021-02-25",false,19
"FCN","Công ty Cổ phần FECON","Công nghiệp","Xây dựng","HOSE",12.15,12.1,"2021-02-25","2021-01-27",12.15,0.4,12.55,0,"2021-02-15",11.45,10.49,12.55,"2021-02-19",false,19
"FDC","Công ty Cổ phần Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh","Tài chính","Bất động sản","HOSE",11.4,12.25,"2021-02-25","2021-01-27",11.4,1.15,12.55,0,"2021-02-15",11.8,10.63,12.55,"2021-02-17",false,19
"FID","Công ty Cổ phần Đầu tư và Phát triển Doanh nghiệp Việt Nam","Tài chính","Tư Vấn, Định giá, Môi giới Bất động sản","HNX",1.9,2,"2021-02-25","2021-01-27",0.4,0.1,0.5,1.5,"2021-02-02",1.9,1.82,2,"2021-01-27",false,19
"FIR","Công ty Cổ phần Địa ốc First Real","Tài chính","Bất động sản","HOSE",26.1,27.15,"2021-02-25","2021-01-27",26.1,1.05,27.15,0,"2021-02-15",25.75,23.11,27.15,"2021-01-27",false,19
"FIT","Công ty Cổ phần Tập đoàn F.I.T","Tài chính","Tài chính đặc biệt","HOSE",10.8,16.35,"2021-02-25","2021-01-27",10.8,5.55,16.35,0,"2021-02-15",11.6,11.04,16.35,"2021-01-27",true,19
"FLC","Công ty Cổ phần Tập đoàn FLC","Tài chính","Bất động sản","HOSE",6.1,7.15,"2021-02-25","2021-01-27",6.1,1.05,7.15,0,"2021-02-15",6.16,5.63,7.15,"2021-01-27",false,19
"FMC","Công ty Cổ phần Thực phẩm Sao Ta","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",32.6,30.9,"2021-02-25","2021-01-27",32.6,0.4,33,0,"2021-02-15",30.3,27.54,33,"2021-02-23",false,19
"FPT","Công ty Cổ phần FPT","Công nghệ Thông tin","Phần mềm","VN30",76.2,63,"2021-02-25","2021-01-27",76.2,2,78.2,0,"2021-02-15",72.5,63.77,78.2,"2021-02-18",false,19
"FRT","Công ty Cổ phần Bán lẻ Kỹ thuật số FPT","Dịch vụ Tiêu dùng","Phân phối hàng chuyên dụng","HOSE",28.05,28.4,"2021-02-25","2021-01-27",28.05,1.3,29.35,0,"2021-02-15",26.8,24.3,29.35,"2021-02-22",false,19
"FTM","Công ty Cổ phần Đầu tư và Phát triển Đức Quân","Hàng Tiêu dùng","Hàng May mặc","HOSE",1.82,1.82,"2021-02-25","2021-01-27",1.82,0.04,1.86,0,"2021-02-15",1.7,1.55,1.86,"2021-02-18",false,19
"FTS","Công ty Cổ phần Chứng khoán FPT","Tài chính","Môi giới chứng khoán","HOSE",16.8,16.2,"2021-02-25","2021-01-27",16.8,0.1,16.9,0,"2021-02-15",16.15,14.39,16.9,"2021-02-19",false,19
"GAB","Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC","Công nghiệp","Vật liệu xây dựng & Nội thất","HOSE",195,194,"2021-02-25","2021-01-27",195,0.5,195.5,0,"2021-02-15",194.5,174.11,195.5,"2021-02-18",false,19
"GAS","Tổng Công ty Khí Việt Nam - Công ty Cổ phần","Tiện ích Cộng đồng","Phân phối xăng dầu & khí đốt","VN30",89.2,79,"2021-02-25","2021-01-27",89.2,0.9,90.1,0,"2021-02-15",81,73.88,90.1,"2021-02-18",false,19
"GDT","Công ty Cổ phần Chế biến Gỗ Đức Thành","Hàng Tiêu dùng","Thiết bị gia dụng","HOSE",45,39.65,"2021-02-25","2021-01-27",45,0.2,45.2,0,"2021-02-15",38.9,36.04,45.2,"2021-02-23",false,19
"GDW","Công ty Cổ phần Cấp nước Gia Định","Tiện ích Cộng đồng","Nước","HNX",29.9,24.3,"2021-02-18","2021-01-29",5.6,0,5.6,24.3,"2021-01-29",27.4,27.05,29.9,"2021-02-18",false,8
"GEG","Công ty Cổ phần Điện Gia Lai","Tiện ích Cộng đồng","Sản xuất & Phân phối Điện","HOSE",16.95,17.4,"2021-02-25","2021-01-27",16.95,1.15,18.1,0,"2021-02-15",17.2,15.32,18.1,"2021-02-17",false,19
"GEX","Tổng Công ty Cổ phần Thiết bị điện Việt Nam","Công nghiệp","Thiết bị điện","HOSE",21,20.95,"2021-02-25","2021-01-27",21,0.85,21.85,0,"2021-02-15",20.6,18.45,21.85,"2021-02-19",false,19
"GIC","Công ty Cổ phần Đầu tư Dịch vụ và Phát triển Xanh","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HNX",22.6,23.5,"2021-02-25","2021-01-27",1.6,1.4,3,21,"2021-02-01",23,22.88,24,"2021-02-17",true,19
"GIL","Công ty Cổ phần Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh","Hàng Tiêu dùng","Hàng May mặc","HOSE",65.9,48.4,"2021-02-25","2021-01-27",65.9,0,65.9,0,"2021-02-15",53.9,49.36,65.9,"2021-02-25",false,19
"GKM","Công ty Cổ phần Khang Minh Group","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",16.8,17.9,"2021-02-25","2021-01-27",0,2.7,2.7,16.8,"2021-02-22",18.8,18.33,19.5,"2021-02-03",true,19
"GLT","Công ty Cổ phần Kỹ thuật điện Toàn Cầu","Hàng Tiêu dùng","Điện tử tiêu dùng","HNX",20,19.5,"2021-02-25","2021-01-27",0.5,0.5,1,19.5,"2021-01-27",19.8,19.87,20.5,"2021-02-18",false,18
"GMA","Công ty Cổ phần Enteco Việt Nam","Công nghiệp","Máy công nghiệp","HNX",39.4,41.4,"2021-02-25","2021-02-01",2.1,2,4.1,37.3,"2021-02-02",38.85,38.89,41.4,"2021-02-01",false,16
"GMC","Công ty Cổ phần Garmex Sài Gòn","Hàng Tiêu dùng","Hàng May mặc","HOSE",33.9,26.55,"2021-02-25","2021-01-27",33.9,0,33.9,0,"2021-02-15",27.4,26.42,33.9,"2021-02-25",false,19
"GMD","Công ty Cổ phần Gemadept","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HOSE",33,30.95,"2021-02-25","2021-01-27",33,0.5,33.5,0,"2021-02-15",30.6,27.73,33.5,"2021-02-19",false,19
"GMX","Công ty Cổ phần Gạch ngói Gốm xây dựng Mỹ Xuân","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",23.3,25,"2021-02-25","2021-01-27",0,2.5,2.5,23.3,"2021-02-25",25,24.85,25.8,"2021-02-23",true,12
"GSP","Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế","Công nghiệp","Vận tải Thủy","HOSE",12.3,12.2,"2021-02-25","2021-01-27",12.3,0.15,12.45,0,"2021-02-15",12.1,10.76,12.45,"2021-02-23",false,19
"GTA","Công ty Cổ phần Chế biến Gỗ Thuận An","Nguyên vật liệu","Lâm sản và Chế biến gỗ","HOSE",13.7,13.5,"2021-02-25","2021-01-27",13.7,0.8,14.5,0,"2021-02-15",13.5,12.06,14.5,"2021-02-02",false,18
"GTN","Công ty Cổ phần GTNFOODS","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",25.2,23.4,"2021-02-25","2021-01-27",25.2,0.05,25.25,0,"2021-02-15",23.55,21.39,25.25,"2021-02-17",false,19
"GVR","Tập đoàn Công nghiệp Cao su Việt Nam","Nguyên vật liệu","Nhựa, cao su & sợi","HOSE",28.9,28.1,"2021-02-25","2021-01-27",28.9,1,29.9,0,"2021-02-15",25.7,23.46,29.9,"2021-02-23",false,19
"HAD","Công ty Cổ phần Bia Hà Nội - Hải Dương","Hàng Tiêu dùng","Sản xuất bia ","HNX",19.2,19.4,"2021-02-24","2021-01-27",1.6,0.6,2.2,17.6,"2021-01-28",19.4,19.24,19.8,"2021-02-03",true,16
"HAG","Công ty Cổ phần Hoàng Anh Gia Lai","Hàng Tiêu dùng","Nuôi trồng nông & hải sản","HOSE",4.6,5.15,"2021-02-25","2021-01-27",4.6,0.55,5.15,0,"2021-02-15",4.6,4.16,5.15,"2021-01-27",false,19
"HAH","Công ty Cổ phần Vận tải và Xếp dỡ Hải An","Công nghiệp","Kho bãi, hậu cần và bảo dưỡng","HOSE",20.3,16.6,"2021-02-25","2021-01-27",20.3,0,20.3,0,"2021-02-15",17.25,15.82,20.3,"2021-02-25",false,19
"HAI","Công ty Cổ phần Nông dược HAI","Nguyên vật liệu","Sản phẩm hóa dầu, Nông dược & Hóa chất khác","HOSE",3.12,3.12,"2021-02-25","2021-01-27",3.12,0.16,3.28,0,"2021-02-15",3,2.7,3.28,"2021-02-23",false,19
"HAP","Công ty Cổ phần Tập Đoàn Hapaco","Nguyên vật liệu","Sản xuất giấy","HOSE",6.74,6.5,"2021-02-25","2021-01-27",6.74,0.21,6.95,0,"2021-02-15",6.16,5.73,6.95,"2021-02-18",false,19
"HAR","Công ty Cổ phần Đầu tư Thương mại Bất động sản An Dương Thảo Điền","Tài chính","Bất động sản","HOSE",5.17,5.8,"2021-02-25","2021-01-27",5.17,0.63,5.8,0,"2021-02-15",5,4.57,5.8,"2021-01-27",false,19
"HAS","Công ty Cổ phần Hacisco","Công nghiệp","Xây dựng","HOSE",9.9,8.2,"2021-02-25","2021-01-28",9.9,0.35,10.25,0,"2021-02-15",9.07,8.24,10.25,"2021-02-22",false,18
"HAT","Công ty Cổ phần Thương mại Bia Hà Nội","Hàng Tiêu dùng","Sản xuất bia ","HNX",21.7,22.5,"2021-02-25","2021-01-27",1.3,1,2.3,20.4,"2021-01-28",22,21.86,22.7,"2021-02-17",true,17
"HAX","Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh","Hàng Tiêu dùng","Sản xuất ô tô","HOSE",19.6,19.2,"2021-02-25","2021-01-27",19.6,0.7,20.3,0,"2021-02-15",19,17.18,20.3,"2021-02-18",false,19
"HBC","Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình","Công nghiệp","Xây dựng","HOSE",17.35,18.9,"2021-02-25","2021-01-27",17.35,1.55,18.9,0,"2021-02-15",16.85,15.01,18.9,"2021-01-27",false,19
"HBE","Công ty Cổ phần Sách - Thiết bị trường học Hà Tĩnh","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",7.5,8.8,"2021-02-25","2021-01-28",0.2,2.1,2.3,7.3,"2021-02-04",8,8.17,9.6,"2021-02-01",true,15
"HBS","Công ty Cổ phần Chứng khoán Hòa Bình","Tài chính","Môi giới chứng khoán","HNX",4.9,5.3,"2021-02-25","2021-01-27",0.5,0.4,0.9,4.4,"2021-02-08",4.8,4.81,5.3,"2021-01-27",false,19
"HCC","Công ty Cổ phần Bê tông Hòa Cầm - Intimex","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",10,10,"2021-02-25","2021-01-27",0.9,0,0.9,9.1,"2021-01-28",9.7,9.83,10,"2021-01-27",false,19
"HCD","Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD","Nguyên vật liệu","Nhựa, cao su & sợi","HOSE",2.63,2.6,"2021-02-25","2021-01-27",2.63,0.07,2.7,0,"2021-02-15",2.55,2.29,2.7,"2021-02-19",false,19
"HCM","Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh","Tài chính","Môi giới chứng khoán","HOSE",29.3,27.75,"2021-02-25","2021-01-27",29.3,0.3,29.6,0,"2021-02-15",27.75,24.97,29.6,"2021-02-23",false,19
"HCT","Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng","Công nghiệp","Dịch vụ vận tải","HNX",13.3,16.1,"2021-02-25","2021-01-27",0,4.4,4.4,13.3,"2021-02-25",16,15.58,17.7,"2021-01-28",true,13
"HDA","Công ty Cổ phần Hãng sơn Đông Á","Công nghiệp","Vật liệu xây dựng & Nội thất","HNX",9.2,8.8,"2021-02-25","2021-01-27",0.4,0.5,0.9,8.8,"2021-01-27",9.2,9.29,9.7,"2021-02-17",true,19
"HDB","Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh","Ngân hàng","Ngân hàng","VN30",25.5,23.3,"2021-02-25","2021-01-27",25.5,0.45,25.95,0,"2021-02-15",24,21.63,25.95,"2021-02-23",false,19
"HDC","Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu","Tài chính","Bất động sản","HOSE",41.6,38.2,"2021-02-25","2021-01-27",41.6,2.7,44.3,0,"2021-02-15",39.4,35.67,44.3,"2021-02-18",false,19
"HDG","Công ty Cổ phần Tập đoàn Hà Đô","Tài chính","Bất động sản","HOSE",40.95,39.45,"2021-02-25","2021-01-27",40.95,1.35,42.3,0,"2021-02-15",39.4,35.42,42.3,"2021-02-19",false,19
"HEV","Công ty Cổ phần Sách Đại học - Dạy nghề","Dịch vụ Tiêu dùng","Sách, ấn bản & sản phẩm văn hóa","HNX",14.8,13.5,"2021-02-23","2021-01-28",1.3,0,1.3,13.5,"2021-01-28",14.8,14.37,14.8,"2021-02-17",false,3
"HHC","Công ty Cổ phần Bánh kẹo Hải Hà","Hàng Tiêu dùng","Thực phẩm","HNX",99.9,63.2,"2021-02-19","2021-01-27",36.9,0,36.9,63,"2021-01-29",69.4,75.75,99.9,"2021-02-19",false,13
"HHG","Công ty Cổ phần Hoàng Hà","Dịch vụ Tiêu dùng","Vận tải hành khách & Du lịch","HNX",2.1,2.4,"2021-02-25","2021-01-27",0.4,0.3,0.7,1.7,"2021-02-02",1.8,1.85,2.4,"2021-01-27",false,19
"HHP","Công ty Cổ phần Giấy Hoàng Hà Hải Phòng","Nguyên vật liệu","Sản xuất giấy","HNX",14.2,12.6,"2021-02-18","2021-01-27",2.1,0,2.1,12.1,"2021-01-29",12.85,12.94,14.2,"2021-02-17",false,14
"HHS","Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy","Hàng Tiêu dùng","Sản xuất ô tô","HOSE",6.06,5.97,"2021-02-25","2021-01-27",6.06,0.26,6.32,0,"2021-02-15",5.7,5.2,6.32,"2021-02-18",false,19
"HID","Công ty Cổ phần Halcom Vietnam","Công nghiệp","Xây dựng","HOSE",3.56,3.61,"2021-02-25","2021-01-27",3.56,0.24,3.8,0,"2021-02-15",3.56,3.21,3.8,"2021-02-09",false,19
"HII","Công ty Cổ phần An Tiến Industries","Nguyên vật liệu","Nhựa, cao su & sợi","HOSE",21,20.9,"2021-02-25","2021-01-27",21,2.75,23.75,0,"2021-02-15",21.35,19.56,23.75,"2021-02-09",false,19
"HJS","Công ty Cổ phần Thủy điện Nậm Mu","Tiện ích Cộng đồng","Sản xuất & Phân phối Điện","HNX",34.1,37.2,"2021-02-24","2021-01-27",0.1,3.1,3.2,34,"2021-01-28",34.1,35.16,37.2,"2021-01-27",true,5
"HKT","Công ty Cổ phần Đầu tư Ego Việt Nam","Hàng Tiêu dùng","Đồ uống & giải khát","HNX",9.6,9.3,"2021-02-25","2021-01-27",0.3,0.5,0.8,9.3,"2021-01-27",9.7,9.84,10.1,"2021-01-28",true,8
"HLC","Công ty Cổ phần Than Hà Lầm - Vinacomin","Nguyên vật liệu","Khai thác Than","HNX",8.4,7.3,"2021-02-25","2021-01-27",1.5,0,1.5,6.9,"2021-01-28",7.3,7.46,8.4,"2021-02-25",false,15
