"symbol","industry","market","name","sector","subsector","supersector","group","listingDate"
"SSM","Nguyên vật liệu","HNX ","Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM","Kim loại","Thép và sản phẩm thép","Tài nguyên Cơ bản","HNX","2008-11-17"
"ST8","Công nghệ Thông tin","HOSE","Công ty Cổ phần Siêu Thanh","Thiết bị và Phần cứng","Thiết bị văn phòng","Công nghệ Thông tin","HOSE","2007-12-18"
"STB","Ngân hàng","HOSE","Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín","Ngân hàng","Ngân hàng","Ngân hàng","VN30","2006-07-12"
"STC","Dịch vụ Tiêu dùng","HNX ","Công ty Cổ phần Sách và Thiết bị trường học Tp. Hồ Chí Minh","Truyền thông","Sách, ấn bản & sản phẩm văn hóa","Truyền thông","HNX","2006-12-27"
"STG","Công nghiệp","HOSE","Công ty Cổ phần Kho Vận Miền Nam","Vận tải","Kho bãi, hậu cần và bảo dưỡng","Hàng & Dịch vụ Công nghiệp","HOSE","2010-03-02"
"STK","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Sợi Thế Kỷ","Hàng cá nhân","Hàng May mặc","Hàng cá nhân & Gia dụng","HOSE","2015-09-30"
"STP","Công nghiệp","HNX ","Công ty Cổ phần Công nghiệp Thương mại Sông Đà","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HNX","2006-10-09"
"SVC","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn","Ô tô và phụ tùng","Sản xuất ô tô","Ô tô và phụ tùng","HOSE","2006-12-21"
"SVI","Công nghiệp","HOSE","Công ty Cổ phần Bao bì Biên Hòa","Hàng công nghiệp","Containers & Đóng gói","Hàng & Dịch vụ Công nghiệp","HOSE","2008-12-22"
"SVN","Công nghiệp","HNX ","Công ty Cổ phần Tập đoàn Vexilla Việt Nam","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2011-07-26"
"SVT","Nguyên vật liệu","HOSE","Công ty Cổ phần Công nghệ Sài Gòn Viễn Đông","Lâm nghiệp và Giấy","Sản xuất giấy","Tài nguyên Cơ bản","HOSE","2011-10-05"
"SZB","Tài chính","HNX ","Công ty Cổ phần Sonadezi Long Bình","Bất động sản","Bất động sản","Bất động sản","HNX","2019-12-20"
"SZC","Tài chính","HOSE","Công ty Cổ phần Sonadezi Châu Đức","Bất động sản","Bất động sản","Bất động sản","HOSE","2019-01-15"
"SZL","Tài chính","HOSE","Công ty Cổ phần Sonadezi Long Thành","Bất động sản","Bất động sản","Bất động sản","HOSE","2008-09-09"
"TA9","Công nghiệp","HNX ","Công ty Cổ phần Xây lắp Thành An 96","Xây dựng và Vật liệu","Xây dựng","Xây dựng và Vật liệu","HNX","2015-07-31"
"TAC","Hàng Tiêu dùng","HOSE","Công ty Cổ phần Dầu Thực vật Tường An","Sản xuất thực phẩm","Thực phẩm","Thực phẩm và đồ uống","HOSE","2006-12-26"
"TAR","Hàng Tiêu dùng","HNX ","Công ty Cổ phần Nông nghiệp Công nghệ cao Trung An","Sản xuất thực phẩm","Nuôi trồng nông & hải sản","Thực phẩm và đồ uống","HNX","2019-02-20"
