"id","name","chamber","url","api_uri","chair","chair_id","chair_party","chair_state","chair_uri","ranking_member_id","subcommittees"
"SSGA","Committee on Homeland Security and Governmental Affairs","Senate","https://www.hsgac.senate.gov/","https://api.propublica.org/congress/v1/111/senate/committees/SSGA.json","Joseph I. Lieberman","L000304","I","CT","https://api.propublica.org/congress/v1/members/L000304.json","C001035","[{""id"":""SSGA01"",""name"":""Investigations Subcommittee"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSGA/subcommittees/SSGA01.json""},{""id"":""SSGA15"",""name"":""Financial and Contracting Oversight"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSGA/subcommittees/SSGA15.json""},{""id"":""SSGA17"",""name"":""Emergency Management, Intergovernmental Relations, and the District of Columbia"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSGA/subcommittees/SSGA17.json""},{""id"":""SSGA16"",""name"":""the Efficiency and Effectiveness of Federal Programs and the Federal Workforce"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSGA/subcommittees/SSGA16.json""},{""id"":""SSGA19"",""name"":""Regulatory Affairs and Federal Management Subcommittee"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSGA/subcommittees/SSGA19.json""},{""id"":""SSGA18"",""name"":""Federal Spending Oversight and Emergency Management"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSGA/subcommittees/SSGA18.json""}]"
"SLIA","Committee on Indian Affairs","Senate","https://www.indian.senate.gov/","https://api.propublica.org/congress/v1/111/senate/committees/SLIA.json","Byron L. Dorgan","D000432","D","ND","https://api.propublica.org/congress/v1/members/D000432.json","B001261","[]"
"SSRA","Committee on Rules and Administration","Senate","https://www.rules.senate.gov/","https://api.propublica.org/congress/v1/111/senate/committees/SSRA.json","Charles E. Schumer","S000148","D","NY","https://api.propublica.org/congress/v1/members/S000148.json","B000382","[]"
"SSSB","Committee on Small Business and Entrepreneurship","Senate","https://www.sbc.senate.gov/public/","https://api.propublica.org/congress/v1/111/senate/committees/SSSB.json","Mary L. Landrieu","L000550","D","LA","https://api.propublica.org/congress/v1/members/L000550.json","S000663","[]"
"SSBU","Committee on the Budget","Senate","https://www.budget.senate.gov/","https://api.propublica.org/congress/v1/111/senate/committees/SSBU.json","Kent Conrad","C000705","D","ND","https://api.propublica.org/congress/v1/members/C000705.json","G000445","[]"
"SSJU","Committee on the Judiciary","Senate","https://www.judiciary.senate.gov/","https://api.propublica.org/congress/v1/111/senate/committees/SSJU.json","Patrick J. Leahy","L000174","D","VT","https://api.propublica.org/congress/v1/members/L000174.json","H000338","[{""id"":""SSJU01"",""name"":""Antitrust, Competition Policy and Consumer Rights Subcommittee"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSJU/subcommittees/SSJU01.json""},{""id"":""SSJU04"",""name"":""Border Security and Immigration Subcommittee"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSJU/subcommittees/SSJU04.json""},{""id"":""SSJU22"",""name"":""Crime and Terrorism Subcommittee"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSJU/subcommittees/SSJU22.json""},{""id"":""SSJU21"",""name"":""Constitution Subcommittee"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSJU/subcommittees/SSJU21.json""},{""id"":""SSJU25"",""name"":""Oversight, Agency Action, Federal Rights and Federal Courts"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSJU/subcommittees/SSJU25.json""},{""id"":""SSJU26"",""name"":""Intellectual Property Subcommittee"",""api_uri"":""https://api.propublica.org/congress/v1/111/senate/committees/SSJU/subcommittees/SSJU26.json""}]"
"SSVA","Committee on Veterans' Affairs","Senate","https://www.veterans.senate.gov/","https://api.propublica.org/congress/v1/111/senate/committees/SSVA.json","Daniel K. Akaka","A000069","D","HI","https://api.propublica.org/congress/v1/members/A000069.json","B001135","[]"
"SLET","Select Committee on Ethics","Senate","https://www.ethics.senate.gov/public/","https://api.propublica.org/congress/v1/111/senate/committees/SLET.json","Barbara Boxer","B000711","D","CA","https://api.propublica.org/congress/v1/members/B000711.json","I000055","[]"
"SLIN","Select Committee on Intelligence","Senate","https://www.intelligence.senate.gov/","https://api.propublica.org/congress/v1/111/senate/committees/SLIN.json","Dianne Feinstein","F000062","D","CA","https://api.propublica.org/congress/v1/members/F000062.json","B000611","[]"
"SPAG","Special Committee on Aging","Senate","https://www.aging.senate.gov/","https://api.propublica.org/congress/v1/111/senate/committees/SPAG.json","Herb Kohl","K000305","D","WI","https://api.propublica.org/congress/v1/members/K000305.json","C001071","[]"
