"language","color","extensions"
"Python","#3572A5",".py,.cgi,.fcgi,.gyp,.gypi,.lmi,.py3,.pyde,.pyi,.pyp,.pyt,.pyw,.rpy,.smk,.spec,.tac,.wsgi,.xpy"
"Q#","#fed659",".qs"
"QML","#44a51c",".qml,.qbs"
"Qt Script","#00b841",".qs"
"Quake","#882233",""
"R","#198CE7",".r,.rd,.rsx"
"Racket","#3c5caa",".rkt,.rktd,.rktl,.scrbl"
"Ragel","#9d5200",".rl"
"Raku","#0000fb",".6pl,.6pm,.nqp,.p6,.p6l,.p6m,.pl,.pl6,.pm,.pm6,.raku,.rakumod,.t"
"Rascal","#fffaa0",".rsc"
"ReScript","#ed5051",".res"
"Reason","#ff5847",".re,.rei"
"Rebol","#358a5b",".reb,.r,.r2,.r3,.rebol"
"Red","#f50000",".red,.reds"
"Ren'Py","#ff7f7f",".rpy"
"Ring","#2D54CB",".ring"
"Rouge","#cc0088",".rg"
"Ruby","#701516",".rb,.builder,.eye,.fcgi,.gemspec,.god,.jbuilder,.mspec,.pluginspec,.podspec,.prawn,.rabl,.rake,.rbi,.rbuild,.rbw,.rbx,.ru,.ruby,.spec,.thor,.watchr"
"Rust","#dea584",".rs,.rs.in"
"SAS","#B34936",".sas"
"SQF","#3F3F3F",".sqf,.hqf"
"SaltStack","#646464",".sls"
"Scala","#c22d40",".scala,.kojo,.sbt,.sc"
"Scheme","#1e4aec",".scm,.sch,.sld,.sls,.sps,.ss"
"Self","#0579aa",".self"
"Shell","#89e051",".sh,.bash,.bats,.cgi,.command,.env,.fcgi,.ksh,.sh.in,.tmux,.tool,.zsh"
"Shen","#120F14",".shen"
"Slash","#007eff",".sl"
"Slice","#003fa2",".ice"
"SmPL","#c94949",".cocci"
"Smalltalk","#596706",".st,.cs"
"Solidity","#AA6746",".sol"
"SourcePawn","#f69e1d",".sp,.inc"
"Squirrel","#800000",".nut"
"Stan","#b2011d",".stan"
"Standard ML","#dc566d",".ml,.fun,.sig,.sml"
"Starlark","#76d275",".bzl"
"SuperCollider","#46390b",".sc,.scd"
"Swift","#ffac45",".swift"
"SystemVerilog","#DAE1C2",".sv,.svh,.vh"
"TI Program","#A0AA87",".8xp,.8xk,.8xk.txt,.8xp.txt"
"Tcl","#e4cc98",".tcl,.adp,.tm"
"Terra","#00004c",".t"
"Turing","#cf142b",".t,.tu"
"TypeScript","#2b7489",".ts"
"Unified Parallel C","#4e3617",".upc"
"Uno","#9933cc",".uno"
"UnrealScript","#a54c4d",".uc"
"V","#4f87c4",".v"
"VBA","#867db1",".bas,.cls,.frm,.frx,.vba"
"VBScript","#15dcdc",".vbs"
"VCL","#148AA8",".vcl"
"VHDL","#adb2cb",".vhdl,.vhd,.vhf,.vhi,.vho,.vhs,.vht,.vhw"
"Vala","#fbe5cd",".vala,.vapi"
"Verilog","#b2b7f8",".v,.veo"
"Vim script","#199f4b",".vim,.vba,.vmb"
"Visual Basic .NET","#945db7",".vb,.vbhtml"
"Volt","#1F1F1F",".volt"
"WebAssembly","#04133b",".wast,.wat"
"Wollok","#a23738",".wlk"
"X10","#4B6BEF",".x10"
"XC","#99DA07",".xc"
"XQuery","#5232e7",".xquery,.xq,.xql,.xqm,.xqy"
"XSLT","#EB8CEB",".xslt,.xsl"
"YARA","#220000",".yar,.yara"
"Yacc","#4B6C4B",".y,.yacc,.yy"
"ZAP","#0d665e",".zap,.xzap"
"ZIL","#dc75e5",".zil,.mud"
"ZenScript","#00BCD1",".zs"
"Zephir","#118f9e",".zep"
"Zig","#ec915c",".zig"
"eC","#913960",".ec,.eh"
"jq","#c7254e",".jq"
"mIRC Script","#3d57c3",".mrc"
"mcfunction","#E22837",".mcfunction"
"nesC","#94B0C7",".nc"
"ooc","#b0b77e",".ooc"
"q","#0040cd",".q"
"sed","#64b970",".sed"
"wdl","#42f1f4",".wdl"
"wisp","#7582D1",".wisp"
"xBase","#403a40",".prg,.ch,.prw"
